Date,Name,Year,Letterboxd URI,Rating
2022-02-12,The Favourite,2018,https://boxd.it/d2hI,3
2022-02-27,Fallen Angels,1995,https://boxd.it/1UkW,3
2022-03-06,It's a Wonderful Life,1946,https://boxd.it/28xA,4
2022-03-11,Casablanca,1942,https://boxd.it/2aG0,3.5
2022-03-14,Anatomy of a Murder,1959,https://boxd.it/2baa,4
2022-03-22,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,2.5
2022-04-03,(500) Days of Summer,2009,https://boxd.it/1EmM,4.5
2022-04-03,CODA,2021,https://boxd.it/tbf4,4
2022-04-04,The Batman,2022,https://boxd.it/eDGs,4.5
2022-04-23,Hereditary,2018,https://boxd.it/hNVe,5
2022-06-05,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/gaTc,3
2022-06-06,Forgotten,2017,https://boxd.it/hAJE,2.5
2022-06-19,Braveheart,1995,https://boxd.it/2aTI,3.5
2022-06-28,Chip 'n Dale: Rescue Rangers,2022,https://boxd.it/eSk2,2.5
2022-07-18,Alien,1979,https://boxd.it/2awY,4.5
2022-07-31,Lunana: A Yak in the Classroom,2019,https://boxd.it/ndMM,5
2022-08-02,Coco,2017,https://boxd.it/bYJQ,4
2022-08-29,Nope,2022,https://boxd.it/sDCe,3
2022-09-08,The Call,2020,https://boxd.it/l94W,3.5
2022-09-11,Juno,2007,https://boxd.it/210a,4
2022-10-02,Petite Maman,2021,https://boxd.it/s6je,4
2022-10-02,Dial M for Murder,1954,https://boxd.it/2adW,4
2022-10-08,Licorice Pizza,2021,https://boxd.it/qTKY,2.5
2022-10-10,The Blair Witch Project,1999,https://boxd.it/26ua,2.5
2022-10-18,Mars One,2022,https://boxd.it/yoPa,4.5
2022-10-30,The Second Mother,2015,https://boxd.it/9Ydm,4.5
2022-11-10,Sorry to Bother You,2018,https://boxd.it/f21E,0.5
2022-11-16,Charcoal,2022,https://boxd.it/wVge,4
2022-11-20,Neighboring Sounds,2012,https://boxd.it/3nzS,3.5
2022-11-21,The Platform,2019,https://boxd.it/mUm6,2.5
2022-11-28,C'mon C'mon,2021,https://boxd.it/nrI0,3.5
2022-11-28,Wild Tales,2014,https://boxd.it/7UmK,3
2022-11-28,Blue Velvet,1986,https://boxd.it/29BI,3.5
2022-12-04,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,3.5
2022-12-07,The Third Man,1949,https://boxd.it/294E,2.5
2022-12-12,Aftersun,2022,https://boxd.it/Arw0,5
2023-01-11,Glass Onion,2022,https://boxd.it/oCkK,3.5
2023-01-15,Decision to Leave,2022,https://boxd.it/qp9e,3.5
2023-01-16,See How They Run,2022,https://boxd.it/sNVq,1.5
2023-01-18,Bullet Train,2022,https://boxd.it/qW26,3.5
2023-01-25,John Wick,2014,https://boxd.it/7dEc,2.5
2023-01-28,The Menu,2022,https://boxd.it/lScm,3
2023-02-06,X,2022,https://boxd.it/sxVa,3
2023-02-12,The Banshees of Inisherin,2022,https://boxd.it/p7XS,3
2023-02-20,Triangle of Sadness,2022,https://boxd.it/hXlq,2.5
